Setpoint,PID_Output,Planta_Output
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.85
48.00,1.08,47.86
48.00,1.08,47.86
48.00,1.08,47.86
48.00,1.08,47.86
48.00,1.08,47.86
48.00,1.08,47.86
48.00,1.08,47.86
48.00,1.08,47.86
48.00,1.08,47.86
48.00,1.08,47.86
48.00,1.08,47.86
48.00,1.09,47.86
48.00,1.09,47.86
48.00,1.08,47.86
48.00,1.08,47.86
48.00,1.09,47.86
48.00,1.09,47.87
48.00,1.08,47.87
48.00,1.08,47.87
48.00,1.08,47.87
48.00,1.08,47.87
48.00,1.09,47.87
48.00,1.09,47.87
